#Name,Goethite,Hematite,Kaolinite,Dolomite,Illite,Vermiculite,Montmorillonite,Gypsum,Calcite,Chlorite
Antigorite NMNH96917.e s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.d 70um s06an14a_b ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.d s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.c 120um s06an14a_b,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.c s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.b 165u s06an14a_b ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.b s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.a >250 s06an14a_b ,0,0,0,0,0,0,0,0,0,0
Antigorite NMNH96917.a s06an14a_bb_    ,0,0,0,0,0,0,0,0,0,0
Arsenopyrite HS262.3B s06an14a_c       ,0,0,0,0,0,0,0,0,0,0
Arsenopyrite HS262.3B s06an14a_cd_     ,0,0,0,0,0,0,0,0,0,0
Augite NMNH120049 s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Augite WS588 Pyroxene s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Augite WS588 Pyroxene s06an14a_cbb     ,0,0,0,0,0,0,0,0,0,0
Augite WS592 Pyroxene s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Augite WS592 Pyroxene s06an14a_cc_     ,0,0,0,0,0,0,0,0,0,0
Axinite HS342.3B s06an14a_b            ,0,0,0,0,0,0,0,0,0,0
Axinite HS342.3B s06an14a_cbb          ,0,0,0,0,0,0,0,0,0,0
Azurite WS316 s06an14a_a               ,0,0,0,0,0,0,0,0,0,0
Barite HS79.3B s06an14a_b              ,0,0,0,0,0,0,0,0,0,0
Barite HS79.3B s06an14a_bb_            ,0,0,0,0,0,0,0,0,0,0
Bassanite GDS145 (syn) s06an14a_a      ,0,0,0,0,0,0,0,0,0,0
Bassanite GDS145 (syn) s06an14a_aa_    ,0,0,0,0,0,0,0,0,0,0
Beryl GDS9 <150um gs s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Beryl GDS9 <150um gs s06an14a_bbb      ,0,0,0,0,0,0,0,0,0,0
Beryl HS180.3B s06an14a_a              ,0,0,0,0,0,0,0,0,0,0
Beryl HS180.3B s06an14a_aaa            ,0,0,0,0,0,0,0,0,0,0
Biotite HS28.3B s06an14a_b             ,0,0,0,0,0,0,0,0,0,0
Biotite HS28.3B s06an14a_bbb           ,0,0,0,0,0,0,0,0,0,0
Biotite WS660 s06an14a_b               ,0,0,0,0,0,0,0,0,0,0
Biotite WS660 s06an14a_cc_             ,0,0,0,0,0,0,0,0,0,0
Bloedite GDS147 s06an14a_a             ,0,0,0,0,0,0,0,0,0,0
Bloedite GDS147 s06an14a_aa_           ,0,0,0,0,0,0,0,0,0,0
Bronzite HS9.3B Pyroxene s06an14a_c    ,0,0,0,0,0,0,0,0,0,0
Bronzite HS9.3B Pyroxene s06an14a_ccc  ,0,0,0,0,0,0,0,0,0,0
Brookite HS443.2B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Brookite HS443.2B s06an14a_bc_         ,0,0,0,0,0,0,0,0,0,0
Brucite HS247.3B s06an14a_c            ,0,0,0,0,0,0,0,0,0,0
Brucite HS34827.3B s06an14a_ccc        ,0,0,0,0,0,0,0,0,0,0
Buddingtonite GDS85 D-206 s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Buddingtonite NHB2301 s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Butlerite GDS25 s06an14a_a             ,0,0,0,0,0,0,0,0,0,0
Butlerite GDS25 s06an14a_aaa           ,0,0,0,0,0,0,0,0,0,0
Bytownite HS105.3B Plagio s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Bytownite HS105.3B Plagio s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Bytownite HS106.3B Plagio s06an14a_c   ,0,0,0,0,0,0,0,0,0,0
Bytownite HS106.3B Plagio s06an14a_ccc ,0,0,0,0,0,0,0,0,0,0
Calcite CO2004 s06an14a_b              ,0,0,0,0,0,0,0,0,1,0
Calcite GDS304 75-150um s06an14a_b     ,0,0,0,0,0,0,0,0,1,0
Calcite HS48.3B s06an14a_a             ,0,0,0,0,0,0,0,0,1,0
Calcite WS272 s06an14a_a               ,0,0,0,0,0,0,0,0,1,0
Calcite WS272 s06an14a_aaa             ,0,0,0,0,0,0,0,0,1,0
Carbon_Black GDS68 sm.ap. s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Carnallite HS430.3B s06an14a_a         ,0,0,0,0,0,0,0,0,0,0
Carnallite HS430.3B s06an14a_aa_       ,0,0,0,0,0,0,0,0,0,0
Carnallite NMNH98011 s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Carnallite NMNH98011 s06an14a_bb_      ,0,0,0,0,0,0,0,0,0,0
Cassiterite HS279.3B s06an14a_c        ,0,0,0,0,0,0,0,0,0,0
Cassiterite HS279.3B s06an14a_bbb      ,0,0,0,0,0,0,0,0,0,0
Celestite HS251.3B Barite s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Celestite HS251.3B Barite s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Celsian HS200.3B s06an14a_d            ,0,0,0,0,0,0,0,0,0,0
Celsian HS200.3B s06an14a_ddd          ,0,0,0,0,0,0,0,0,0,0
Chalcedony CU91-6A s06an14a_a          ,0,0,0,0,0,0,0,0,0,0
Chalcedony CU91-6A XRD s06an14a_aa_    ,0,0,0,0,0,0,0,0,0,0
Chalcopyrite HS431.3B s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Chalcopyrite HS431.3B s06an14a_bc_     ,0,0,0,0,0,0,0,0,0,0
Chalcopyrite S26-36 s06an14a_b         ,0,0,0,0,0,0,0,0,0,0
Chert ANP90-6D (White) s06an14a_?      ,0,0,0,0,0,0,0,0,0,0
Chlorapatite WS423 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Chlorapatite WS423 s06an14a_bb_        ,0,0,0,0,0,0,0,0,0,0
Chlorite HS179.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,1
Chlorite HS179.3B s06an14a_bb_         ,0,0,0,0,0,0,0,0,0,1
Chlorite HS197.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,1
Chlorite HS197.3B s06an14a_bbb         ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.a s06an14a_a           ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.a 104-150 s06an14a_a   ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.a 104-150 s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.b 60-104um s06an14a_a  ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.c 45-60um s06an14a_a   ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.c 45-60um s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.d 30-45um s06an14a_a   ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.d 30-45um s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.e <30um s06an14a_b     ,0,0,0,0,0,0,0,0,0,1
Chlorite SMR-13.e <30um s06an14a_bb_   ,0,0,0,0,0,0,0,0,0,1
Chromite HS281.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Chromite HS281.3B s06an14a_bcb         ,0,0,0,0,0,0,0,0,0,0
Chrysocolla HS297.3B s06an14a_b        ,0,0,0,0,0,0,0,0,0,0
Chrysocolla HS297.3B s06an14a_bcb      ,0,0,0,0,0,0,0,0,0,0
Chrysotile HS323.1B s06an14a_a         ,0,0,0,0,0,0,0,0,0,0
Chrysotile ML99-12A Coar Fib s06an14a_b,0,0,0,0,0,0,0,0,0,0
Chrysotile ML99-12C Fine Fib s06an14a_b,0,0,0,0,0,0,0,0,0,0
Cinnabar HS133.3B s06an14a_c           ,0,0,0,0,0,0,0,0,0,0
Cinnabar HS133.3B s06an14a_ddd         ,0,0,0,0,0,0,0,0,0,0
Clinochlore GDS158 Flagst s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Clinochlore GDS158 Flagst s06an14a_bb_ ,0,0,0,0,0,0,0,0,0,0
Clinochlore GDS159 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Clinochlore GDS159 s06an14a_bb_        ,0,0,0,0,0,0,0,0,0,0
Clinochlore NMNH83369 s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Clinochlore NMNH83369 NIR s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Clinochlore NMNH83369 s06an14a_bbb     ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe GDS157 s06an14a_a       ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe GDS157.b s06an14a_a     ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe GDS157 NIR s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe GDS157 s06an14a_aa_     ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.a s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.a s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.b s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.b s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.c s06an14a_a   ,0,0,0,0,0,0,0,0,0,0
Clinochlore_Fe SC-CCa-1.c s06an14a_aa_ ,0,0,0,0,0,0,0,0,0,0
Clinoptilolite GDS152 Zeolit s06an14a_b,0,0,0,0,0,0,0,0,0,0
Clinoptilolite GDS152 Zeol s06an14a_bbb,0,0,0,0,0,0,0,0,0,0
Clinoptilolite GDS2 Zeolite s06an14a_b ,0,0,0,0,0,0,0,0,0,0
Clinoptilolite GDS2 Zeolit s06an14a_bbb,0,0,0,0,0,0,0,0,0,0
Clinozoisite HS299.2B s06an14a_d       ,0,0,0,0,0,0,0,0,0,0
Clinozoisite HS299.2B s06an14a_bc_     ,0,0,0,0,0,0,0,0,0,0
Clintonite NMNH126553 s06an14a_c       ,0,0,0,0,0,0,0,0,0,0
Colemanite GDS143 s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Colemanite GDS143 s06an14a_bb_         ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.a 104-150um s06an14a_b  ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.a 104-150um s06an14a_bb_,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.b 60-104um s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.b 60-104um s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.b 60-104um s06an14a_bb_ ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.c <30um s06an14a_b      ,0,0,0,0,0,0,0,0,0,0
Cookeite CAr-1.c <30um s06an14a_cc_    ,0,0,0,0,0,0,0,0,0,0
Copiapite GDS21 s06an14a_b             ,0,0,0,0,0,0,0,0,0,0
Copiapite GDS21 s06an14a_bc_           ,0,0,0,0,0,0,0,0,0,0
Coquimbite GDS22 s06an14a_c            ,0,0,0,0,0,0,0,0,0,0
Cordierite HS346.3B s06an14a_d         ,0,0,0,0,0,0,0,0,0,0
Cordierite HS346.3B s06an14a_ddd       ,0,0,0,0,0,0,0,0,0,0
Corrensite CorWa-1 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Corrensite CorWa-1 s06an14a_bc_        ,0,0,0,0,0,0,0,0,0,0
Corundum HS283.3B s06an14a_c           ,0,0,0,0,0,0,0,0,0,0
Covellite HS477.2B s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Covellite HS477.3B s06an14a_bbb        ,0,0,0,0,0,0,0,0,0,0
Cronstedtite M3542 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Cronstedtite M3542 s06an14a_bb_        ,0,0,0,0,0,0,0,0,0,0
Cummingtonite HS294.3B s06an14a_c      ,0,0,0,0,0,0,0,0,0,0
Cummingtonite HS294.3B s06an14a_ccc    ,0,0,0,0,0,0,0,0,0,0
Cuprite HS127.3B s06an14a_b            ,0,0,0,0,0,0,0,0,0,0
Cuprite HS127.3B s06an14a_ccc          ,0,0,0,0,0,0,0,0,0,0
Datolite HS442.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Datolite HS442.3B s06an14a_bbb         ,0,0,0,0,0,0,0,0,0,0
Datolite SU51399 s06an14a_b            ,0,0,0,0,0,0,0,0,0,0
Diaspore HS416.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Diaspore HS416.3B s06an14a_bb_         ,0,0,0,0,0,0,0,0,0,0
Dickite NMNH106242 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Dickite NMNH106242 s06an14a_b          ,0,0,0,0,0,0,0,0,0,0
Dickite NMNH106242 s06an14a_bb_        ,0,0,0,0,0,0,0,0,0,0
Dickite NMNH46967 s06an14a_a           ,0,0,0,0,0,0,0,0,0,0
Diopside HS15.3B Pyroxene s06an14a_c   ,0,0,0,0,0,0,0,0,0,0
Diopside HS15.3B Pyroxene s06an14a_dbb ,0,0,0,0,0,0,0,0,0,0
Diopside HS317.3B (Cr)Pyx s06an14a_c   ,0,0,0,0,0,0,0,0,0,0
Diopside HS317.3B (Cr)Pyx s06an14a_dbb ,0,0,0,0,0,0,0,0,0,0
Diopside NMNHR18685 ~160 Pyx s06an14a_b,0,0,0,0,0,0,0,0,0,0
Diopside NMNHR18685 ~160 s06an14a_cbb  ,0,0,0,0,0,0,0,0,0,0
Dipyre BM1959,0,0,0,0,0,0,0,0,0,0
Dolomite COD2005 s06an14a_b            ,0,0,0,1,0,0,0,0,0,0
Dolomite HS102.3B s06an14a_b           ,0,0,0,1,0,0,0,0,0,0
Dolomite HS102.3B s06an14a_bbb         ,0,0,0,1,0,0,0,0,0,0
Dolomite ML97-3 Ferroan s06an14a_b     ,0,0,0,1,0,0,0,0,0,0
Dumortierite HS190.3B s06an14a_c       ,0,0,0,0,0,0,0,0,0,0
Dumortierite HS190.3B s06an14a_cdd     ,0,0,0,0,0,0,0,0,0,0
Elbaite NMNH94217-1.a 659 s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Elbaite NMNH94217-1.a 659 s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Elbaite NMNH94217-1.b 196 s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Elbaite NMNH94217-1.b 196 s06an14a_bbb ,0,0,0,0,0,0,0,0,0,0
Elbaite NMNH94217-1.c <74 s06an14a_b   ,0,0,0,0,0,0,0,0,0,0
Endellite GDS16 s06an14a_b             ,0,0,0,0,0,0,0,0,0,0
Endellite GDS16 s06an14a_bbb           ,0,0,0,0,0,0,0,0,0,0
Enstatite NMNH128288 s06an14a_c        ,0,0,0,0,0,0,0,0,0,0
Enstatite NMNH128288 s06an14a_ccc      ,0,0,0,0,0,0,0,0,0,0
Epidote BR93-33a s06an14a_b            ,0,0,0,0,0,0,0,0,0,0
Epidote GDS26.a 75-200um s06an14a_bbb  ,0,0,0,0,0,0,0,0,0,0
Epidote GDS26.a 75-200um s06an14a_b    ,0,0,0,0,0,0,0,0,0,0
Epidote GDS26.b <75um s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Epidote GDS301 75-150um s06an14a_b     ,0,0,0,0,0,0,0,0,0,0
Epidote HS328.3B s06an14a_c            ,0,0,0,0,0,0,0,0,0,0
Epidote HS328.3B s06an14a_bc_          ,0,0,0,0,0,0,0,0,0,0
Epsomite GDS149 s06an14a_c             ,0,0,0,0,0,0,0,0,0,0
Epsomite GDS149 s06an14a_cc_           ,0,0,0,0,0,0,0,0,0,0
Eugsterite GDS140 Syn s06an14a_b       ,0,0,0,0,0,0,0,0,0,0
Eugsterite GDS140 Syn s06an14a_bb_     ,0,0,0,0,0,0,0,0,0,0
Europium_Oxide GDS33 s06an14a_a        ,0,0,0,0,0,0,0,0,0,0
Fassaite HS118.3B s06an14a_c           ,0,0,0,0,0,0,0,0,0,0
Fassaite HS118.3B s06an14a_ccc         ,0,0,0,0,0,0,0,0,0,0
Ferrihydrite GDS75 Syn,0,0,0,0,0,0,0,0,0,0
Fluorapatite WS416 s06an14a_a          ,0,0,0,0,0,0,0,0,0,0
Fluorapatite WS416 s06an14a_aa_        ,0,0,0,0,0,0,0,0,0,0
Galena HS37.3 s06an14a_b               ,0,0,0,0,0,0,0,0,0,0
Galena HS37.3 s06an14a_bb_             ,0,0,0,0,0,0,0,0,0,0
Galena S102-17 s06an14a_b              ,0,0,0,0,0,0,0,0,0,0
Galena S102-1B s06an14a_b              ,0,0,0,0,0,0,0,0,0,0
Galena S105-2 s06an14a_b               ,0,0,0,0,0,0,0,0,0,0
Galena S26-39 s06an14a_b               ,0,0,0,0,0,0,0,0,0,0
Galena S26-40 s06an14a_b               ,0,0,0,0,0,0,0,0,0,0
Gaylussite NMNH102876-2 s06an14a_b     ,0,0,0,0,0,0,0,0,0,0
Gaylussite NMNH102876-2 s06an14a_bb_   ,0,0,0,0,0,0,0,0,0,0
Gibbsite HS423.3B s06an14a_b           ,0,0,0,0,0,0,0,0,0,0
Gibbsite HS423.3B s06an14a_bbb         ,0,0,0,0,0,0,0,0,0,0
Gibbsite WS214 s06an14a_b              ,0,0,0,0,0,0,0,0,0,0
Glauconite HS313.3B s06an14a_c         ,0,0,0,0,0,0,0,0,0,0
Glauconite HS313.3B s06an14a_ccc       ,0,0,0,0,0,0,0,0,0,0
Glaucophane HS426.3B s06an14a_c        ,0,0,0,0,0,0,0,0,0,0
Glaucophane HS426.3B s06an14a_ccc      ,0,0,0,0,0,0,0,0,0,0
Goethite GDS134 s06an14a_b             ,1,0,0,0,0,0,0,0,0,0
Goethite GDS134 s06an14a_bb_           ,1,0,0,0,0,0,0,0,0,0
Goethite HS36.3 s06an14a_b             ,1,0,0,0,0,0,0,0,0,0
Goethite HS36.3B s06an14a_bcb          ,1,0,0,0,0,0,0,0,0,0
Goethite MPCMA2-B FineGr adj s06an14a_b,1,0,0,0,0,0,0,0,0,0
Goethite MPCMA2-C M-Crsgrad2 s06an14a_b,1,0,0,0,0,0,0,0,0,0
Goethite WS219 (limonite) s06an14a_c   ,1,0,0,0,0,0,0,0,0,0
Goethite WS220 s06an14a_c              ,1,0,0,0,0,0,0,0,0,0
Goethite WS220 s06an14a_cd_            ,1,0,0,0,0,0,0,0,0,0
Goethite WS222 Medium Gr. s06an14a_a   ,1,0,0,0,0,0,0,0,0,0
